feature,importance
aqi_rolling_3h_mean,0.34544978
aqi_rolling_3h_max,0.25190347
pm25_rolling_3h_mean,0.13293757
pm25_rolling_6h_mean,0.04894819
pm25,0.044181105
aqi_lag_1h,0.023165602
pm25_rolling_3h_min,0.015646107
pm25_rolling_12h_max,0.014913296
pm25_rolling_6h_min,0.012040293
aqi_rolling_3h_min,0.010165085
aqi_lag_3h,0.010052766
pm10_rolling_6h_min,0.009176603
pm10_rolling_48h_max,0.008960418
pm25_rolling_24h_max,0.006919413
pm10_rolling_24h_max,0.0055123167
aqi_rolling_6h_min,0.0054425695
pm10_rolling_6h_max,0.005386868
pm10_rolling_6h_mean,0.0050792573
pm25_rolling_12h_mean,0.0048629404
pm25_lag_1h,0.004104839
pm25_rolling_72h_max,0.0039733467
pm10,0.0037034727
pm10_rolling_3h_min,0.0031864496
total_pm,0.0027079138
pm10_rolling_72h_max,0.0024873111
pm25_rolling_3h_max,0.0021234269
pm25_rolling_12h_min,0.0019448441
aqi_rolling_6h_mean,0.0018230204
aqi_rolling_12h_min,0.0015454211
pm25_rolling_6h_max,0.0014928324
pm25_rolling_48h_max,0.001460188
pm10_rolling_12h_mean,0.0012877268
aqi_rolling_48h_min,0.0011850898
pm25_lag_6h,0.0010550763
aqi_rolling_24h_mean,0.00094330334
aqi_rolling_12h_mean,0.00062992086
pm10_rolling_3h_max,0.00058509596
pm10_rolling_12h_max,0.00053145614
pm25_rolling_24h_mean,0.00046433404
aqi_rolling_6h_max,0.00031182813
pm25_lag_3h,0.0002573522
aqi_rolling_12h_max,0.00025705522
pm10_lag_1h,0.00022214983
aqi_rolling_48h_mean,0.00020781453
pm25_rolling_24h_min,0.00017407455
aqi_rolling_24h_min,0.00016362258
pm10_lag_3h,0.00012540116
pm10_rolling_3h_mean,0.00012512288
aqi_lag_6h,0.00011220126
pm10_rolling_12h_min,6.4663036e-05
